Название,Ссылка,Автор,Издательство,Цена,Размер скидки,Старая цена,Наличие
Изучаем Java,https://www.labirint.ru/books/323187/,"Сьерра Кэтти, Бейтс Берт",Эксмо: Мировой компьютерный бестселлер,1 590 ₽,–27% фиксированная,2 178,На складе
Java. Библиотека профессионала. Том 2. Расширенные средства программирования,https://www.labirint.ru/books/732481/,Хорстманн Кей С.,Вильямс,4 840 ₽,–40% фиксированная,8 066,На складе
Алгоритмы на Java,https://www.labirint.ru/books/512969/,"Седжвик Роберт, Уэйн Кевин",Вильямс,6 451 ₽,–40% фиксированная,10 752,На складе
Java. Полное руководство,https://www.labirint.ru/books/660316/,Шилдт Герберт,Вильямс,5 914 ₽,–40% фиксированная,9 856,На складе
Выразительный JavaScript. Современное веб-программирование,https://www.labirint.ru/books/707678/,Хавербеке Марейн,Питер: Для профессионалов,2 197 ₽,–22% фиксированная,2 817,На складе
JavaScript. Полное руководство,https://www.labirint.ru/books/779734/,Флэнаган Дэвид,Вильямс,4 033 ₽,–50% фиксированная,8 066,На складе
Рефакторинг кода на JavaScript. Улучшение проекта существующего кода,https://www.labirint.ru/books/713014/,Фаулер Мартин,Вильямс,4 840 ₽,–40% фиксированная,8 066,Ограничено
Java. Библиотека профессионала. Том 1. Основы,https://www.labirint.ru/books/695676/,Хорстманн Кей С.,Диалектика,4 086 ₽,–40% фиксированная,6 810,На складе
Java. Оптимизация программ. Практические методы повышения производительности приложений в JVM,https://www.labirint.ru/books/688120/,Эванс Бенджамин и др.,Диалектика,3 405 ₽,–50% фиксированная,6 810,На складе
Java. Эффективное программирование,https://www.labirint.ru/books/674797/,Блох Джошуа,Вильямс,4 086 ₽,–40% фиксированная,6 810,На складе
Java. Руководство для начинающих,https://www.labirint.ru/books/671238/,Шилдт Герберт,Диалектика,4 086 ₽,–40% фиксированная,6 810,На складе
Java SE 9. Базовый курс,https://www.labirint.ru/books/643929/,Хорстманн Кей С.,Диалектика,4 086 ₽,–40% фиксированная,6 810,На складе
Секреты JavaScript ниндзя,https://www.labirint.ru/books/612655/,Резиг Джон и др.,Диалектика,4 086 ₽,–40% фиксированная,6 810,На складе
"Создаем динамические веб-сайты с помощью PHP, MySQL, JavaScript, CSS и HTML5",https://www.labirint.ru/books/879297/,Никсон Робин,Питер: Бестселлеры O`Reilly,2 786 ₽,,,На складе
"{Вы пока еще не знаете JS} Познакомьтесь, JavaScript",https://www.labirint.ru/books/823464/,Симпсон Кайл,Питер: Библиотека программиста,1 121 ₽,–22% фиксированная,1 437,На складе
"Spark в действии. С примерами Java, Python и Scala",https://www.labirint.ru/books/784236/,Перрен Жан-Жорж,ДМК-Пресс,3 350 ₽,–40% фиксированная,5 583,На складе
Java для чайников,https://www.labirint.ru/books/633539/,Берд Барри,"Диалектика: Для ""чайников""",2 474 ₽,–40% фиксированная,4 123,На складе
Java. Справочник разработчика,https://www.labirint.ru/books/715697/,"Эванс Бенджамин, Флэнаган Дэвид",Вильямс,3 227 ₽,–40% фиксированная,5 378,Ограничено
